0.007248	0.415171
0.029145	0.331788
0.945345	0.272694
0.746978	0.934744
0.002179	0.453372
0.853911	0.853195
0.980671	0.362321
0.881384	0.823336
0.943599	0.730694
0.460319	0.998423
0.296957	0.043083
0.971283	0.667011
0.979487	0.641748
0.982624	0.369332
0.328045	0.969501
0.157712	0.135530
0.041063	0.301563
0.138512	0.845436
0.135919	0.157297
0.968085	0.675773
0.029005	0.332179
0.622498	0.984762
0.009903	0.599018
0.643454	0.978979
0.923360	0.233980
0.649542	0.977113
0.841972	0.864767
0.751110	0.067630
0.859082	0.152063
0.805229	0.896024
0.108873	0.188520
0.087094	0.781972
0.345794	0.024373
0.010025	0.400379
0.050871	0.280265
0.609179	0.987934
0.223556	0.083372
0.007728	0.412431
0.267745	0.942784
0.446966	0.002821
0.626360	0.016230
0.998947	0.532434
0.616081	0.013661
0.758323	0.071900
0.990084	0.400914
0.916752	0.776257
0.011099	0.604765
0.010841	0.396447
0.007840	0.588196
0.927806	0.758810
0.078467	0.231095
0.993212	0.582110
0.353888	0.978175
0.966437	0.680101
0.562849	0.996034
0.630693	0.982617
0.467646	0.998952
0.181111	0.885110
0.982975	0.629365
0.823973	0.880843
0.000306	0.482519
0.202780	0.097930
0.017685	0.368197
0.637482	0.980727
0.711151	0.953227
0.875320	0.830356
0.060894	0.739135
0.760911	0.073473
0.188339	0.109017
0.492199	0.000061
0.048205	0.285801
0.042946	0.702735
0.524645	0.000608
0.186764	0.889722
0.437446	0.996072
0.425191	0.005628
0.023590	0.651768
0.457223	0.001833
0.470799	0.999147
0.942169	0.266577
0.721260	0.051621
0.793064	0.094891
0.974499	0.342358
0.864150	0.842629
0.919313	0.227647
0.716035	0.950920
0.264466	0.941049
0.744650	0.936058
0.014910	0.378808
0.158374	0.865091
0.326381	0.968888
0.980557	0.638078
0.996661	0.557691
0.791080	0.093463
0.499381	1.000000
0.657447	0.974564
0.987100	0.387157
0.261408	0.060598
0.986988	0.613328
0.108141	0.189442
